,Age,FormalEducation,Gender,Salary
0,18 - 24 years old,Associate degree,Female,42000.0
1,18 - 24 years old,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Female,70000.0
2,18 - 24 years old,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Female,90000.0
3,18 - 24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Female,12650.0
4,18 - 24 years old,Some college/university study without earning a degree,Female,38595.0
5,25 - 34 years old,Associate degree,Female,70000.0
6,25 - 34 years old,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Female,85000.0
7,25 - 34 years old,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Female,85000.0
8,25 - 34 years old,"Other doctoral degree (Ph.D, Ed.D., etc.)",Female,75000.0
9,25 - 34 years old,"Professional degree (JD, MD, etc.)",Female,98000.0
10,25 - 34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Female,57500.0
11,25 - 34 years old,Some college/university study without earning a degree,Female,65000.0
12,35 - 44 years old,Associate degree,Female,55000.0
13,35 - 44 years old,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Female,97500.0
14,35 - 44 years old,I never completed any formal education,Female,897.0
15,35 - 44 years old,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Female,100000.0
16,35 - 44 years old,"Other doctoral degree (Ph.D, Ed.D., etc.)",Female,113000.0
17,35 - 44 years old,"Professional degree (JD, MD, etc.)",Female,70000.0
18,35 - 44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Female,75000.0
19,35 - 44 years old,Some college/university study without earning a degree,Female,87500.0
20,45 - 54 years old,Associate degree,Female,55000.0
21,45 - 54 years old,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Female,107500.0
22,45 - 54 years old,I never completed any formal education,Female,30000.0
23,45 - 54 years old,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Female,93000.0
24,45 - 54 years old,"Other doctoral degree (Ph.D, Ed.D., etc.)",Female,110250.0
25,45 - 54 years old,Some college/university study without earning a degree,Female,92000.0
26,55 - 64 years old,Associate degree,Female,56000.0
27,55 - 64 years old,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Female,82000.0
28,55 - 64 years old,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Female,121000.0
29,55 - 64 years old,"Other doctoral degree (Ph.D, Ed.D., etc.)",Female,88000.0
30,55 - 64 years old,Some college/university study without earning a degree,Female,96000.0
31,18 - 24 years old,Associate degree,Male,33934.0
32,18 - 24 years old,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Male,71380.0
33,18 - 24 years old,I never completed any formal education,Male,220.0
34,18 - 24 years old,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Male,80000.0
35,18 - 24 years old,"Other doctoral degree (Ph.D, Ed.D., etc.)",Male,1143.0
36,18 - 24 years old,Primary/elementary school,Male,4000.0
37,18 - 24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Male,15000.0
38,18 - 24 years old,Some college/university study without earning a degree,Male,35000.0
39,25 - 34 years old,Associate degree,Male,70000.0
